No.,Which age group do you belong to?,What is your gender?,Which category do you currently belong to?,Which of the following best describes you?,Which of these factors are important to you when deciding which car to purchase?,How likely are you to opt for customised vehicle if there were no extra charges? ,"Which of the following exterior components would you choose to customise (texture, layout, size, etc)? ","Which of the following interior components would you choose to customise (texture, layout, size, etc)? ",How much are you willing to spend on car customisation if surcharges are applicable?,Are you interested in designing your own components to personalise your car? ,How much are you willing to pay for the personalised design? ,
1,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Technological features;Functionality,Very likely,Wheels;Grilles,Steering wheel;Dashboard,500-1000,No,500-1000,
2,51-60,Female,Own a car,Married with children,Price;Brand name;Functionality,Very likely,Grilles,Centre compartment;Dashboard;Sun blocker for front passengers,under 500,Only with professional help,over 1000,
3,20-30,Male,Own a car,Single,Price;Brand name;Aesthetics;Functionality;Size,Very likely,,Steering wheel;Centre compartment;Door handles;Dashboard,0,Only with professional help,0,
4,20-30,Male,Own a car,Single,Price;Brand name;Aesthetics;Technological features;Functionality;Size;Sustainability/environment considerations,Very likely,,Steering wheel;Centre compartment;Dashboard,under 500,No,under 500,
5,20-30,Female,"Do not own a car, but planning to purchase in future",Single,Price;Aesthetics;Technological features;Functionality,Likely,Wheels,Centre compartment;Dashboard,under 500,Only with professional help,500-1000,
6,20-30,Female,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Functionality,Very likely,Wheels;Side mirrors;Bumpers,Steering wheel;Centre compartment;Door handles;Dashboard,under 500,Yes,under 500,
7,20-30,Female,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Technological features;Functionality;Size;Customisable options;Sustainability/environment considerations,Very likely,Side mirrors;Bumpers,Door handles;Dashboard,under 500,Only with professional help,under 500,
8,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Functionality;Size;Sustainability/environment considerations,Very likely,Wheels;Headlights;Side mirrors;Bumpers,Centre compartment;Door handles;Dashboard,under 500,Only with professional help,over 1000,
9,31-40,Male,Own more than one car,Married with children,Price,Not likely,Bumpers,Dashboard,0,No,over 1000,
10,51-60,Male,Own a car,Married with children,Price;Brand name;Technological features;Functionality;Size;Sustainability/environment considerations,Very likely,Grilles;Bumpers,Steering wheel;Centre compartment;Dashboard,under 500,Only with professional help,under 500,
11,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Technological features;Functionality;Size;Customisable options;Sustainability/environment considerations,Very likely,Grilles;Side mirrors;Bumpers,Steering wheel;Centre compartment;Door handles;Dashboard,0,Only with professional help,0,
12,20-30,Female,"Do not own a car, but planning to purchase in future",Single,Price;Functionality;Size,Likely,Wheels;Side mirrors,Steering wheel;Door handles;Dashboard,under 500,No,under 500,
13,20-30,Female,Own a car,Single,Price;Aesthetics;Technological features;Functionality;Customisable options;Sustainability/environment considerations,Very likely,Grilles,Steering wheel;Centre compartment;Door handles;Dashboard,under 500,Only with professional help,under 500,
14,41-50,Male,Own a car,Single,Price,Very likely,Wheels,Steering wheel,under 500,Yes,under 500,
15,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Size,Very likely,Wheels;Headlights;Side mirrors,Steering wheel;Centre compartment;Dashboard,under 500,Only with professional help,0,
16,20-30,Female,Own a car,Single,Price;Brand name;Aesthetics;Technological features;Functionality;Size,Very likely,Wheels;Headlights;Side mirrors,Door handles,0,Only with professional help,0,"No, I would need a designer to model my sketch"
17,31-40,Male,Own a car,Married with children,Price;Functionality;Size,Likely,Grilles;Headlights;Side mirrors,Centre compartment;Dashboard,500-1000,Only with professional help,500-1000,"No, I would need a designer to model my sketch"
18,20-30,Male,"Do not own a car, but planning to purchase in future",Single,,Very likely,Wheels,Dashboard,over 1000,Only with professional help,over 1000,"Yes, I can design on my own"
19,20-30,Male,"Do not own a car, but planning to purchase in future",Married with no children,Price;Aesthetics;Size,Very likely,Bumpers,Steering wheel;Centre compartment;Dashboard,500-1000,Yes,500-1000,"Yes, I can design on my own"
20,20-30,Female,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics,Very likely,Wheels;Headlights,Dashboard,500-1000,Only with professional help,500-1000,"No, I would need a designer to model my sketch"
21,20-30,Female,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Technological features;Size,Very likely,Grilles;Bumpers,Dashboard,500-1000,Yes,500-1000,"No, I would need a designer to model my sketch"
22,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Technological features;Functionality;Size,Very likely,Wheels;Grilles;Headlights;Side mirrors;Bumpers,Steering wheel;Door handles;Dashboard,500-1000,Only with professional help,500-1000,"No, I would need a designer to model my sketch"
23,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Technological features;Functionality;Size;Customisable options;Sustainability/environment considerations,Likely,Wheels;Grilles;Headlights,Dashboard,over 1000,Yes,over 1000,"Yes, I can design on my own"
24,41-50,Female,Own a car,Married with no children,Price;Brand name;Aesthetics;Technological features;Functionality;Size;Customisable options;Sustainability/environment considerations,Very likely,Wheels;Grilles;Headlights;Side mirrors;Bumpers,Steering wheel;Centre compartment;Door handles;Dashboard,over 1000,No,over 1000,"No, I would need a designer to model my sketch"
25,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Technological features;Functionality;Sustainability/environment considerations,Not likely,Wheels;Headlights,Dashboard,500-1000,Only with professional help,500-1000,"No, I would need a designer to model my sketch"
26,41-50,Male,Own a car,Married with no children,Price;Brand name;Aesthetics;Technological features;Functionality;Size;Customisable options,Likely,Wheels;Headlights;Bumpers,Steering wheel;Dashboard,under 500,Only with professional help,under 500,"Yes, I can design on my own"
27,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Brand name;Technological features;Functionality;Customisable options,Very likely,Wheels,Steering wheel;Centre compartment;Door handles;Dashboard,over 1000,Only with professional help,over 1000,"Yes, I can design on my own"
28,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Aesthetics;Technological features;Functionality;Size,Very likely,Wheels;Headlights;Bumpers,Steering wheel;Centre compartment;Door handles;Music Player and sound systems,500-1000,Only with professional help,500-1000,"Yes, I can design on my own"
29,31-40,Female,"Do not own a car, but planning to purchase in future",Single,Price;Aesthetics;Technological features;Functionality,Very likely,Wheels,Dashboard,500-1000,Only with professional help,500-1000,"No, I would need a designer to model my sketch"
30,20-30,Male,Own more than one car,Single,Price;Brand name;Aesthetics;Technological features;Functionality;Size,Very likely,Headlights;Side mirrors,Steering wheel;Door handles;Dashboard,under 500,Only with professional help,over 1000,"No, I would need a designer to model my sketch"
31,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Technological features;Functionality,Likely,Wheels;Grilles;Headlights,Steering wheel,500-1000,No,500-1000,"Yes, I can design on my own"
32,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Technological features;Customisable options,Very likely,Wheels;Headlights;Bumpers,Steering wheel;Centre compartment;Dashboard,500-1000,Only with professional help,500-1000,"No, I would need a designer to model my sketch"
33,41-50,Male,"Do not own a car, but planning to purchase in future",Single,Brand name;Aesthetics;Technological features;Functionality,Very likely,Grilles;Headlights;Side mirrors;Bumpers,Steering wheel;Centre compartment;Door handles;Dashboard,over 1000,Yes,over 1000,"No, I would need a designer to model my sketch"
34,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Technological features;Functionality;Sustainability/environment considerations,Likely,Grilles;Headlights;Bumpers,Centre compartment;Dashboard,under 500,Only with professional help,500-1000,"No, I would need a designer to model my sketch"
35,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Functionality,Very likely,Wheels;Bumpers,Steering wheel;Dashboard,500-1000,Yes,500-1000,"Yes, I can design on my own"
36,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Sustainability/environment considerations,Very likely,Bumpers,Steering wheel,500-1000,Yes,500-1000,"No, I would need a designer to model my sketch"
37,51-60,Male,Own a car,Married with children,Price;Brand name;Aesthetics;Sustainability/environment considerations,Likely,Wheels;Grilles;Side mirrors;Bumpers,Steering wheel;Dashboard,500-1000,Yes,under 500,"No, I would need a designer to model my sketch"
38,31-40,Male,Own a car,Married with no children,Price;Brand name;Aesthetics;Size;Sustainability/environment considerations,Likely,Wheels;Grilles;Headlights,Steering wheel;Dashboard;air vent,500-1000,Only with professional help,500-1000,"No, I would need a designer to model my sketch"
39,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Technological features;Functionality,Very likely,Wheels;Headlights;Bumpers;add body kit and change the exhaust and tune the engine,Steering wheel;Centre compartment,under 500,Yes,0,"No, I would need a designer to model my sketch"
40,20-30,Female,Own a car,Married with children,Price;Brand name;Aesthetics;Technological features;Functionality;Sustainability/environment considerations,Very likely,Wheels;Grilles;Headlights,Centre compartment,under 500,No,under 500,"No, I would need a designer to model my sketch"
41,20-30,Female,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Functionality;Size;Sustainability/environment considerations,Very likely,Wheels,Steering wheel;Door handles,500-1000,Only with professional help,under 500,"Yes, I can design on my own"
42,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Technological features,Very likely,Wheels;Headlights,Steering wheel;Dashboard,over 1000,Yes,500-1000,"No, I would need a designer to model my sketch"
43,20-30,Female,"Do not own a car, but planning to purchase in future",Married with children,Price;Aesthetics;Technological features;Customisable options;Sustainability/environment considerations,Very likely,Grilles;Bumpers,Centre compartment;Door handles;Dashboard,0,Only with professional help,500-1000,"No, I would need a designer to model my sketch"
44,31-40,Male,"Do not own a car, but planning to purchase in future",Married with no children,Price;Brand name;Aesthetics;Technological features;Functionality;Size,Very likely,Wheels,Dashboard,500-1000,Yes,500-1000,"Yes, I can design on my own"
45,31-40,Male,Own a car,Married with children,Price;Technological features;Functionality;Customisable options;Sustainability/environment considerations,Very likely,Wheels;Bumpers,Dashboard,over 1000,Yes,500-1000,"Yes, I can design on my own"
46,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Technological features;Size,Likely,Wheels;Headlights;Side mirrors,Steering wheel;Centre compartment;Door handles;Dashboard,500-1000,Yes,over 1000,"No, I would need a designer to model my sketch"
47,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Functionality;Size;Sustainability/environment considerations,Very likely,Wheels,Dashboard,under 500,Only with professional help,under 500,"Yes, I can design on my own"
48,20-30,Female,"Do not own a car, but planning to purchase in future",Single,Price;Aesthetics;Technological features;Size;Customisable options;Sustainability/environment considerations,Likely,Wheels;Side mirrors,Steering wheel;Dashboard,under 500,Yes,500-1000,"Yes, I can design on my own"
49,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Technological features,Likely,Headlights;Side mirrors,Centre compartment;Dashboard,over 1000,Yes,over 1000,"Yes, I can design on my own"
50,31-40,Male,"Do not own a car, but planning to purchase in future",Single,Aesthetics;Technological features;Functionality;Size;Sustainability/environment considerations,Very likely,Wheels;Grilles,Steering wheel;Centre compartment;Door handles;Dashboard,500-1000,Only with professional help,500-1000,"No, I would need a designer to model my sketch"
