Age,Gender,Category,MarriageStatus,FactorsPurchase,FreeCustomization,ExteriorComponents,InteriorComponents,WTSCustomization,WantOwnPersonalization,WTSPersonalization,PersonalizationJob,factors,external,internal,fact_length,ext_length,int_length
20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Technological features;Functionality,Very likely,Wheels;Grilles,Steering wheel;Dashboard,500-1000,No,500-1000,,"['Price', 'Technological features', 'Functionality']","['Wheels', 'Grilles']","['Steering wheel', 'Dashboard']",3,2,2
51-60,Female,Own a car,Married with children,Price;Brand name;Functionality,Very likely,Grilles,Centre compartment;Dashboard;Sun blocker for front passengers,under 500,Only with professional help,over 1000,,"['Price', 'Brand name', 'Functionality']",['Grilles'],"['Centre compartment', 'Dashboard', 'Sun blocker for front passengers']",3,1,3
20-30,Male,Own a car,Single,Price;Brand name;Aesthetics;Functionality;Size,Very likely,,Steering wheel;Centre compartment;Door handles;Dashboard,0,Only with professional help,0,,"['Price', 'Brand name', 'Aesthetics', 'Functionality', 'Size']",,"['Steering wheel', 'Centre compartment', 'Door handles', 'Dashboard']",5,,4
20-30,Male,Own a car,Single,Price;Brand name;Aesthetics;Technological features;Functionality;Size;Sustainability/environment considerations,Very likely,,Steering wheel;Centre compartment;Dashboard,under 500,No,under 500,,"['Price', 'Brand name', 'Aesthetics', 'Technological features', 'Functionality', 'Size', 'Sustainability/environment considerations']",,"['Steering wheel', 'Centre compartment', 'Dashboard']",7,,3
20-30,Female,"Do not own a car, but planning to purchase in future",Single,Price;Aesthetics;Technological features;Functionality,Likely,Wheels,Centre compartment;Dashboard,under 500,Only with professional help,500-1000,,"['Price', 'Aesthetics', 'Technological features', 'Functionality']",['Wheels'],"['Centre compartment', 'Dashboard']",4,1,2
20-30,Female,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Functionality,Very likely,Wheels;Side mirrors;Bumpers,Steering wheel;Centre compartment;Door handles;Dashboard,under 500,Yes,under 500,,"['Price', 'Brand name', 'Aesthetics', 'Functionality']","['Wheels', 'Side mirrors', 'Bumpers']","['Steering wheel', 'Centre compartment', 'Door handles', 'Dashboard']",4,3,4
20-30,Female,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Technological features;Functionality;Size;Customisable options;Sustainability/environment considerations,Very likely,Side mirrors;Bumpers,Door handles;Dashboard,under 500,Only with professional help,under 500,,"['Price', 'Brand name', 'Aesthetics', 'Technological features', 'Functionality', 'Size', 'Customisable options', 'Sustainability/environment considerations']","['Side mirrors', 'Bumpers']","['Door handles', 'Dashboard']",8,2,2
20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Functionality;Size;Sustainability/environment considerations,Very likely,Wheels;Headlights;Side mirrors;Bumpers,Centre compartment;Door handles;Dashboard,under 500,Only with professional help,over 1000,,"['Price', 'Functionality', 'Size', 'Sustainability/environment considerations']","['Wheels', 'Headlights', 'Side mirrors', 'Bumpers']","['Centre compartment', 'Door handles', 'Dashboard']",4,4,3
31-40,Male,Own more than one car,Married with children,Price,Not likely,Bumpers,Dashboard,0,No,over 1000,,['Price'],['Bumpers'],['Dashboard'],1,1,1
51-60,Male,Own a car,Married with children,Price;Brand name;Technological features;Functionality;Size;Sustainability/environment considerations,Very likely,Grilles;Bumpers,Steering wheel;Centre compartment;Dashboard,under 500,Only with professional help,under 500,,"['Price', 'Brand name', 'Technological features', 'Functionality', 'Size', 'Sustainability/environment considerations']","['Grilles', 'Bumpers']","['Steering wheel', 'Centre compartment', 'Dashboard']",6,2,3
20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Technological features;Functionality;Size;Customisable options;Sustainability/environment considerations,Very likely,Grilles;Side mirrors;Bumpers,Steering wheel;Centre compartment;Door handles;Dashboard,0,Only with professional help,0,,"['Price', 'Brand name', 'Technological features', 'Functionality', 'Size', 'Customisable options', 'Sustainability/environment considerations']","['Grilles', 'Side mirrors', 'Bumpers']","['Steering wheel', 'Centre compartment', 'Door handles', 'Dashboard']",7,3,4
20-30,Female,"Do not own a car, but planning to purchase in future",Single,Price;Functionality;Size,Likely,Wheels;Side mirrors,Steering wheel;Door handles;Dashboard,under 500,No,under 500,,"['Price', 'Functionality', 'Size']","['Wheels', 'Side mirrors']","['Steering wheel', 'Door handles', 'Dashboard']",3,2,3
20-30,Female,Own a car,Single,Price;Aesthetics;Technological features;Functionality;Customisable options;Sustainability/environment considerations,Very likely,Grilles,Steering wheel;Centre compartment;Door handles;Dashboard,under 500,Only with professional help,under 500,,"['Price', 'Aesthetics', 'Technological features', 'Functionality', 'Customisable options', 'Sustainability/environment considerations']",['Grilles'],"['Steering wheel', 'Centre compartment', 'Door handles', 'Dashboard']",6,1,4
41-50,Male,Own a car,Single,Price,Very likely,Wheels,Steering wheel,under 500,Yes,under 500,,['Price'],['Wheels'],['Steering wheel'],1,1,1
20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Size,Very likely,Wheels;Headlights;Side mirrors,Steering wheel;Centre compartment;Dashboard,under 500,Only with professional help,0,,"['Price', 'Brand name', 'Aesthetics', 'Size']","['Wheels', 'Headlights', 'Side mirrors']","['Steering wheel', 'Centre compartment', 'Dashboard']",4,3,3
20-30,Female,Own a car,Single,Price;Brand name;Aesthetics;Technological features;Functionality;Size,Very likely,Wheels;Headlights;Side mirrors,Door handles,0,Only with professional help,0,"No, I would need a designer to model my sketch","['Price', 'Brand name', 'Aesthetics', 'Technological features', 'Functionality', 'Size']","['Wheels', 'Headlights', 'Side mirrors']",['Door handles'],6,3,1
31-40,Male,Own a car,Married with children,Price;Functionality;Size,Likely,Grilles;Headlights;Side mirrors,Centre compartment;Dashboard,500-1000,Only with professional help,500-1000,"No, I would need a designer to model my sketch","['Price', 'Functionality', 'Size']","['Grilles', 'Headlights', 'Side mirrors']","['Centre compartment', 'Dashboard']",3,3,2
20-30,Male,"Do not own a car, but planning to purchase in future",Single,,Very likely,Wheels,Dashboard,over 1000,Only with professional help,over 1000,"Yes, I can design on my own",,['Wheels'],['Dashboard'],,1,1
20-30,Male,"Do not own a car, but planning to purchase in future",Married with no children,Price;Aesthetics;Size,Very likely,Bumpers,Steering wheel;Centre compartment;Dashboard,500-1000,Yes,500-1000,"Yes, I can design on my own","['Price', 'Aesthetics', 'Size']",['Bumpers'],"['Steering wheel', 'Centre compartment', 'Dashboard']",3,1,3
20-30,Female,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics,Very likely,Wheels;Headlights,Dashboard,500-1000,Only with professional help,500-1000,"No, I would need a designer to model my sketch","['Price', 'Brand name', 'Aesthetics']","['Wheels', 'Headlights']",['Dashboard'],3,2,1
20-30,Female,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Technological features;Size,Very likely,Grilles;Bumpers,Dashboard,500-1000,Yes,500-1000,"No, I would need a designer to model my sketch","['Price', 'Brand name', 'Technological features', 'Size']","['Grilles', 'Bumpers']",['Dashboard'],4,2,1
20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Technological features;Functionality;Size,Very likely,Wheels;Grilles;Headlights;Side mirrors;Bumpers,Steering wheel;Door handles;Dashboard,500-1000,Only with professional help,500-1000,"No, I would need a designer to model my sketch","['Price', 'Brand name', 'Aesthetics', 'Technological features', 'Functionality', 'Size']","['Wheels', 'Grilles', 'Headlights', 'Side mirrors', 'Bumpers']","['Steering wheel', 'Door handles', 'Dashboard']",6,5,3
20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Technological features;Functionality;Size;Customisable options;Sustainability/environment considerations,Likely,Wheels;Grilles;Headlights,Dashboard,over 1000,Yes,over 1000,"Yes, I can design on my own","['Price', 'Brand name', 'Aesthetics', 'Technological features', 'Functionality', 'Size', 'Customisable options', 'Sustainability/environment considerations']","['Wheels', 'Grilles', 'Headlights']",['Dashboard'],8,3,1
41-50,Female,Own a car,Married with no children,Price;Brand name;Aesthetics;Technological features;Functionality;Size;Customisable options;Sustainability/environment considerations,Very likely,Wheels;Grilles;Headlights;Side mirrors;Bumpers,Steering wheel;Centre compartment;Door handles;Dashboard,over 1000,No,over 1000,"No, I would need a designer to model my sketch","['Price', 'Brand name', 'Aesthetics', 'Technological features', 'Functionality', 'Size', 'Customisable options', 'Sustainability/environment considerations']","['Wheels', 'Grilles', 'Headlights', 'Side mirrors', 'Bumpers']","['Steering wheel', 'Centre compartment', 'Door handles', 'Dashboard']",8,5,4
20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Technological features;Functionality;Sustainability/environment considerations,Not likely,Wheels;Headlights,Dashboard,500-1000,Only with professional help,500-1000,"No, I would need a designer to model my sketch","['Price', 'Brand name', 'Aesthetics', 'Technological features', 'Functionality', 'Sustainability/environment considerations']","['Wheels', 'Headlights']",['Dashboard'],6,2,1
41-50,Male,Own a car,Married with no children,Price;Brand name;Aesthetics;Technological features;Functionality;Size;Customisable options,Likely,Wheels;Headlights;Bumpers,Steering wheel;Dashboard,under 500,Only with professional help,under 500,"Yes, I can design on my own","['Price', 'Brand name', 'Aesthetics', 'Technological features', 'Functionality', 'Size', 'Customisable options']","['Wheels', 'Headlights', 'Bumpers']","['Steering wheel', 'Dashboard']",7,3,2
20-30,Male,"Do not own a car, but planning to purchase in future",Single,Brand name;Technological features;Functionality;Customisable options,Very likely,Wheels,Steering wheel;Centre compartment;Door handles;Dashboard,over 1000,Only with professional help,over 1000,"Yes, I can design on my own","['Brand name', 'Technological features', 'Functionality', 'Customisable options']",['Wheels'],"['Steering wheel', 'Centre compartment', 'Door handles', 'Dashboard']",4,1,4
20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Aesthetics;Technological features;Functionality;Size,Very likely,Wheels;Headlights;Bumpers,Steering wheel;Centre compartment;Door handles;Music Player and sound systems,500-1000,Only with professional help,500-1000,"Yes, I can design on my own","['Price', 'Aesthetics', 'Technological features', 'Functionality', 'Size']","['Wheels', 'Headlights', 'Bumpers']","['Steering wheel', 'Centre compartment', 'Door handles', 'Music Player and sound systems']",5,3,4
31-40,Female,"Do not own a car, but planning to purchase in future",Single,Price;Aesthetics;Technological features;Functionality,Very likely,Wheels,Dashboard,500-1000,Only with professional help,500-1000,"No, I would need a designer to model my sketch","['Price', 'Aesthetics', 'Technological features', 'Functionality']",['Wheels'],['Dashboard'],4,1,1
20-30,Male,Own more than one car,Single,Price;Brand name;Aesthetics;Technological features;Functionality;Size,Very likely,Headlights;Side mirrors,Steering wheel;Door handles;Dashboard,under 500,Only with professional help,over 1000,"No, I would need a designer to model my sketch","['Price', 'Brand name', 'Aesthetics', 'Technological features', 'Functionality', 'Size']","['Headlights', 'Side mirrors']","['Steering wheel', 'Door handles', 'Dashboard']",6,2,3
20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Technological features;Functionality,Likely,Wheels;Grilles;Headlights,Steering wheel,500-1000,No,500-1000,"Yes, I can design on my own","['Price', 'Brand name', 'Aesthetics', 'Technological features', 'Functionality']","['Wheels', 'Grilles', 'Headlights']",['Steering wheel'],5,3,1
20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Technological features;Customisable options,Very likely,Wheels;Headlights;Bumpers,Steering wheel;Centre compartment;Dashboard,500-1000,Only with professional help,500-1000,"No, I would need a designer to model my sketch","['Price', 'Brand name', 'Aesthetics', 'Technological features', 'Customisable options']","['Wheels', 'Headlights', 'Bumpers']","['Steering wheel', 'Centre compartment', 'Dashboard']",5,3,3
41-50,Male,"Do not own a car, but planning to purchase in future",Single,Brand name;Aesthetics;Technological features;Functionality,Very likely,Grilles;Headlights;Side mirrors;Bumpers,Steering wheel;Centre compartment;Door handles;Dashboard,over 1000,Yes,over 1000,"No, I would need a designer to model my sketch","['Brand name', 'Aesthetics', 'Technological features', 'Functionality']","['Grilles', 'Headlights', 'Side mirrors', 'Bumpers']","['Steering wheel', 'Centre compartment', 'Door handles', 'Dashboard']",4,4,4
20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Technological features;Functionality;Sustainability/environment considerations,Likely,Grilles;Headlights;Bumpers,Centre compartment;Dashboard,under 500,Only with professional help,500-1000,"No, I would need a designer to model my sketch","['Price', 'Technological features', 'Functionality', 'Sustainability/environment considerations']","['Grilles', 'Headlights', 'Bumpers']","['Centre compartment', 'Dashboard']",4,3,2
20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Functionality,Very likely,Wheels;Bumpers,Steering wheel;Dashboard,500-1000,Yes,500-1000,"Yes, I can design on my own","['Price', 'Brand name', 'Functionality']","['Wheels', 'Bumpers']","['Steering wheel', 'Dashboard']",3,2,2
20-30,Male,"Do not own a car, but planning to purchase in future",Single,Sustainability/environment considerations,Very likely,Bumpers,Steering wheel,500-1000,Yes,500-1000,"No, I would need a designer to model my sketch",['Sustainability/environment considerations'],['Bumpers'],['Steering wheel'],1,1,1
51-60,Male,Own a car,Married with children,Price;Brand name;Aesthetics;Sustainability/environment considerations,Likely,Wheels;Grilles;Side mirrors;Bumpers,Steering wheel;Dashboard,500-1000,Yes,under 500,"No, I would need a designer to model my sketch","['Price', 'Brand name', 'Aesthetics', 'Sustainability/environment considerations']","['Wheels', 'Grilles', 'Side mirrors', 'Bumpers']","['Steering wheel', 'Dashboard']",4,4,2
31-40,Male,Own a car,Married with no children,Price;Brand name;Aesthetics;Size;Sustainability/environment considerations,Likely,Wheels;Grilles;Headlights,Steering wheel;Dashboard;air vent,500-1000,Only with professional help,500-1000,"No, I would need a designer to model my sketch","['Price', 'Brand name', 'Aesthetics', 'Size', 'Sustainability/environment considerations']","['Wheels', 'Grilles', 'Headlights']","['Steering wheel', 'Dashboard', 'air vent']",5,3,3
20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Technological features;Functionality,Very likely,Wheels;Headlights;Bumpers;add body kit and change the exhaust and tune the engine,Steering wheel;Centre compartment,under 500,Yes,0,"No, I would need a designer to model my sketch","['Price', 'Brand name', 'Aesthetics', 'Technological features', 'Functionality']","['Wheels', 'Headlights', 'Bumpers', 'add body kit and change the exhaust and tune the engine']","['Steering wheel', 'Centre compartment']",5,4,2
20-30,Female,Own a car,Married with children,Price;Brand name;Aesthetics;Technological features;Functionality;Sustainability/environment considerations,Very likely,Wheels;Grilles;Headlights,Centre compartment,under 500,No,under 500,"No, I would need a designer to model my sketch","['Price', 'Brand name', 'Aesthetics', 'Technological features', 'Functionality', 'Sustainability/environment considerations']","['Wheels', 'Grilles', 'Headlights']",['Centre compartment'],6,3,1
20-30,Female,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Functionality;Size;Sustainability/environment considerations,Very likely,Wheels,Steering wheel;Door handles,500-1000,Only with professional help,under 500,"Yes, I can design on my own","['Price', 'Brand name', 'Aesthetics', 'Functionality', 'Size', 'Sustainability/environment considerations']",['Wheels'],"['Steering wheel', 'Door handles']",6,1,2
20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Technological features,Very likely,Wheels;Headlights,Steering wheel;Dashboard,over 1000,Yes,500-1000,"No, I would need a designer to model my sketch","['Price', 'Brand name', 'Technological features']","['Wheels', 'Headlights']","['Steering wheel', 'Dashboard']",3,2,2
20-30,Female,"Do not own a car, but planning to purchase in future",Married with children,Price;Aesthetics;Technological features;Customisable options;Sustainability/environment considerations,Very likely,Grilles;Bumpers,Centre compartment;Door handles;Dashboard,0,Only with professional help,500-1000,"No, I would need a designer to model my sketch","['Price', 'Aesthetics', 'Technological features', 'Customisable options', 'Sustainability/environment considerations']","['Grilles', 'Bumpers']","['Centre compartment', 'Door handles', 'Dashboard']",5,2,3
31-40,Male,"Do not own a car, but planning to purchase in future",Married with no children,Price;Brand name;Aesthetics;Technological features;Functionality;Size,Very likely,Wheels,Dashboard,500-1000,Yes,500-1000,"Yes, I can design on my own","['Price', 'Brand name', 'Aesthetics', 'Technological features', 'Functionality', 'Size']",['Wheels'],['Dashboard'],6,1,1
31-40,Male,Own a car,Married with children,Price;Technological features;Functionality;Customisable options;Sustainability/environment considerations,Very likely,Wheels;Bumpers,Dashboard,over 1000,Yes,500-1000,"Yes, I can design on my own","['Price', 'Technological features', 'Functionality', 'Customisable options', 'Sustainability/environment considerations']","['Wheels', 'Bumpers']",['Dashboard'],5,2,1
20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Technological features;Size,Likely,Wheels;Headlights;Side mirrors,Steering wheel;Centre compartment;Door handles;Dashboard,500-1000,Yes,over 1000,"No, I would need a designer to model my sketch","['Price', 'Brand name', 'Technological features', 'Size']","['Wheels', 'Headlights', 'Side mirrors']","['Steering wheel', 'Centre compartment', 'Door handles', 'Dashboard']",4,3,4
20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Functionality;Size;Sustainability/environment considerations,Very likely,Wheels,Dashboard,under 500,Only with professional help,under 500,"Yes, I can design on my own","['Price', 'Functionality', 'Size', 'Sustainability/environment considerations']",['Wheels'],['Dashboard'],4,1,1
20-30,Female,"Do not own a car, but planning to purchase in future",Single,Price;Aesthetics;Technological features;Size;Customisable options;Sustainability/environment considerations,Likely,Wheels;Side mirrors,Steering wheel;Dashboard,under 500,Yes,500-1000,"Yes, I can design on my own","['Price', 'Aesthetics', 'Technological features', 'Size', 'Customisable options', 'Sustainability/environment considerations']","['Wheels', 'Side mirrors']","['Steering wheel', 'Dashboard']",6,2,2
20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Technological features,Likely,Headlights;Side mirrors,Centre compartment;Dashboard,over 1000,Yes,over 1000,"Yes, I can design on my own","['Price', 'Technological features']","['Headlights', 'Side mirrors']","['Centre compartment', 'Dashboard']",2,2,2
31-40,Male,"Do not own a car, but planning to purchase in future",Single,Aesthetics;Technological features;Functionality;Size;Sustainability/environment considerations,Very likely,Wheels;Grilles,Steering wheel;Centre compartment;Door handles;Dashboard,500-1000,Only with professional help,500-1000,"No, I would need a designer to model my sketch","['Aesthetics', 'Technological features', 'Functionality', 'Size', 'Sustainability/environment considerations']","['Wheels', 'Grilles']","['Steering wheel', 'Centre compartment', 'Door handles', 'Dashboard']",5,2,4
